Track,Platform,Country,Genre,Peak Position,Peak Date
Snow On The Beach (feat. Lana Del Rey),Spotify,Spain,"pop,pop",25,"Oct 21, 2022"
Say Yes To Heaven,Spotify,Norway,pop,25,"Jun 8, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Colombia,"pop,pop",26,"Oct 21, 2022"
Say Yes To Heaven,Spotify,Luxembourg,pop,26,"May 19, 2023"
Say Yes To Heaven,Spotify,Estonia,pop,27,"Jun 7, 2023"
Say Yes To Heaven,Spotify,Hungary,pop,28,"May 19, 2023"
Say Yes To Heaven,Spotify,Ukraine,pop,28,"May 19, 2023"
Snow On The Beach (feat. More Lana Del Rey),Spotify,Romania,"pop,pop",30,"May 26, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Ecuador,"pop,pop",30,"Oct 22, 2022"
Say Yes To Heaven,Spotify,Lithuania,pop,31,"Jun 8, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Chile,"pop,pop",32,"Oct 21, 2022"
Say Yes To Heaven,Spotify,Sweden,pop,33,"May 25, 2023"
Snow On The Beach (feat. More Lana Del Rey),Spotify,Portugal,"pop,pop",34,"May 26, 2023"
Say Yes To Heaven,Spotify,New Zealand,pop,35,"Jun 7, 2023"
Say Yes To Heaven,Spotify,Belgium,pop,38,"May 19, 2023"
Say Yes To Heaven,Spotify,Kazakhstan,pop,38,"May 19, 2023"
Summertime,Spotify,Germany,"pop,christlicher rap,german hip hop",39,"Nov 23, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Indonesia,"pop,pop",39,"Oct 21, 2022"
Snow On The Beach (feat. More Lana Del Rey),Spotify,Pakistan,"pop,pop",40,"May 26, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Italy,"pop,pop",41,"Oct 21, 2022"
Snow On The Beach (feat. Lana Del Rey),Spotify,Türkiye,"pop,pop",41,"Oct 21, 2022"
Say Yes To Heaven,Spotify,Finland,pop,41,"May 19, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Morocco,"pop,pop",41,"Oct 21, 2022"
Say Yes To Heaven,Spotify,United Kingdom,pop,42,"Jun 7, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,France,"pop,pop",42,"Oct 21, 2022"
Say Yes To Heaven,Spotify,United Arab Emirates,pop,42,"Jun 8, 2023"
Say Yes To Heaven,Spotify,Iceland,pop,43,"May 19, 2023"
Say Yes To Heaven,Spotify,Ireland,pop,44,"Jun 7, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Bolivia,"pop,pop",44,"Oct 21, 2022"
Say Yes To Heaven,Spotify,Czech Republic,pop,45,"Jun 7, 2023"
Snow On The Beach (feat. More Lana Del Rey),Spotify,Costa Rica,"pop,pop",45,"May 26, 2023"
Snow On The Beach (feat. More Lana Del Rey),Spotify,Venezuela,"pop,pop",46,"May 26, 2023"
Snow On The Beach (feat. More Lana Del Rey),Spotify,Vietnam,"pop,pop",46,"May 26, 2023"
A&W,Spotify,Greece,pop,48,"Feb 15, 2023"
Say Yes To Heaven,Spotify,Global,pop,49,"Jun 7, 2023"
Say Yes To Heaven,Spotify,Slovakia,pop,49,"Jun 8, 2023"
Snow On The Beach (feat. Lana Del Rey),Spotify,Paraguay,"pop,pop",49,"Oct 21, 2022"
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Spotify,Japan,"dance pop,pop,post-teen pop,dance pop,pop,post-teen pop,pop",51,"Sep 15, 2019"
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Spotify,Dominican Republic,"dance pop,pop,post-teen pop,dance pop,pop,post-teen pop,pop",52,"Sep 13, 2019"
Watercolor Eyes - From “Euphoria” An Original HBO Series,Spotify,Russian Federation,pop,59,"Jan 21, 2022"
Love,Spotify,Cyprus,pop,134,"Jul 31, 2017"
Love,Spotify,Malta,pop,150,"Jul 31, 2017"
