date,song,artist,this_week,last_week,peak_position,weeks_on_chart
2015-11-14,Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,91,86,86,7
2015-11-14,Ginza,J Balvin,92,84,84,8
2015-11-14,Dibs,Kelsea Ballerini,93,,93,1
2015-11-14,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,94,100,71,4
2015-11-14,Scholarships,Drake & Future,95,82,69,6
2015-11-14,Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,96,83,83,6
2015-11-14,I Love This Life,LOCASH,97,,97,1
2015-11-14,Exchange,Bryson Tiller,98,,98,1
2015-11-14,Jugg,Fetty Wap Featuring Monty,99,,86,4
2015-11-14,100,The Game Featuring Drake,100,88,82,10
2015-11-21,Hello,Adele,1,1,1,2
2015-11-21,Hotline Bling,Drake,2,3,2,14
2015-11-21,The Hills,The Weeknd,3,4,1,24
2015-11-21,Sorry,Justin Bieber,4,2,2,2
2015-11-21,What Do You Mean?,Justin Bieber,5,5,1,10
2015-11-21,Stitches,Shawn Mendes,6,6,4,24
2015-11-21,Focus,Ariana Grande,7,,7,1
2015-11-21,Wildest Dreams,Taylor Swift,8,7,5,11
2015-11-21,679,Fetty Wap Featuring Remy Boyz,9,8,4,19
2015-11-21,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,10,13,10,18
2015-11-21,Locked Away,R. City Featuring Adam Levine,11,9,6,16
2015-11-21,Ex's & Oh's,Elle King,12,12,12,18
2015-11-21,Here,Alessia Cara,13,15,13,14
2015-11-21,Can't Feel My Face,The Weeknd,14,10,1,22
2015-11-21,Watch Me,Silento,15,11,3,37
2015-11-21,Jumpman,Drake & Future,16,14,12,7
2015-11-21,Same Old Love,Selena Gomez,17,18,16,8
2015-11-21,On My Mind,Ellie Goulding,18,19,18,7
2015-11-21,Lean On,Major Lazer & DJ Snake Featuring MO,19,17,4,31
2015-11-21,Renegades,X Ambassadors,20,20,17,30
2015-11-21,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",21,16,12,11
2015-11-21,Hit The Quan,iLoveMemphis,22,22,15,12
2015-11-21,Tennessee Whiskey,Chris Stapleton,23,,23,1
2015-11-21,Trap Queen,Fetty Wap,24,23,2,42
2015-11-21,Good For You,Selena Gomez Featuring A$AP Rocky,25,21,5,20
2015-11-21,Drag Me Down,One Direction,26,24,3,14
2015-11-21,Antidote,Travis Scott,27,32,27,9
2015-11-21,Die A Happy Man,Thomas Rhett,28,33,28,7
2015-11-21,How Deep Is Your Love,Calvin Harris & Disciples,29,27,27,16
2015-11-21,Where Ya At,Future Featuring Drake,30,31,28,16
2015-11-21,Cheerleader,OMI,31,25,1,29
2015-11-21,Confident,Demi Lovato,32,35,31,5
2015-11-21,Photograph,Ed Sheeran,33,26,10,26
2015-11-21,See You Again,Wiz Khalifa Featuring Charlie Puth,34,30,1,35
2015-11-21,My Way,Fetty Wap Featuring Monty,35,28,7,18
2015-11-21,White Iverson,Post Malone,36,37,36,9
2015-11-21,Uptown Funk!,Mark Ronson Featuring Bruno Mars,37,34,1,52
2015-11-21,Shut Up And Dance,WALK THE MOON,38,36,4,52
2015-11-21,Again,Fetty Wap,39,42,33,13
2015-11-21,Fight Song,Rachel Platten,40,38,6,30
2015-11-21,Thinking Out Loud,Ed Sheeran,41,40,2,57
2015-11-21,Break Up In A Small Town,Sam Hunt,42,52,42,5
2015-11-21,Strip It Down,Luke Bryan,43,39,30,14
2015-11-21,Perfect,One Direction,44,29,10,3
2015-11-21,Thriller,Michael Jackson,45,,4,17
2015-11-21,Where Are U Now,Skrillex & Diplo With Justin Bieber,46,41,8,36
2015-11-21,I'm Comin' Over,Chris Young,47,46,46,19
2015-11-21,Break Up With Him,Old Dominion,48,44,44,18
2015-11-21,Smoke Break,Carrie Underwood,49,51,43,11
2015-11-21,Want To Want Me,Jason Derulo,50,47,5,35
2015-11-21,I'll Show You,Justin Bieber,51,,51,1
2015-11-21,Back To Back,Drake,52,43,21,14
2015-11-21,Don't,Bryson Tiller,53,54,53,6
2015-11-21,Back Up,DeJ Loaf Featuring Big Sean,54,58,54,5
2015-11-21,Burning House,Cam,55,50,50,17
2015-11-21,No Role Modelz,J. Cole,56,53,53,12
2015-11-21,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,57,45,21,20
2015-11-21,Come Get Her,Rae Sremmurd,58,56,56,8
2015-11-21,Lay It All On Me,Rudimental Featuring Ed Sheeran,59,62,59,5
2015-11-21,Love Myself,Hailee Steinfeld,60,48,30,13
2015-11-21,Let Me See Ya Girl,Cole Swindell,61,59,59,14
2015-11-21,Nothin' Like You,Dan + Shay,62,63,62,13
2015-11-21,Gonna,Blake Shelton,63,70,63,8
2015-11-21,Say It,Tory Lanez,64,72,64,3
2015-11-21,Anything Goes,Florida Georgia Line,65,55,55,17
2015-11-21,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,66,66,66,8
2015-11-21,Liquor,Chris Brown,67,65,60,10
2015-11-21,Roses,The Chainsmokers Featuring Rozes,68,71,68,3
2015-11-21,The Fix,Nelly Featuring Jeremih,69,73,69,6
2015-11-21,Big Rings,Drake & Future,70,64,52,7
2015-11-21,Stressed Out,twenty one pilots,71,76,71,7
2015-11-21,Cool For The Summer,Demi Lovato,72,57,11,19
2015-11-21,Stay A Little Longer,Brothers Osborne,73,77,73,5
2015-11-21,Right Hand,Drake,74,67,58,8
2015-11-21,Save It For A Rainy Day,Kenny Chesney,75,79,54,16
2015-11-21,Hide Away,Daya,76,80,76,7
2015-11-21,Comfortable,K Camp,77,69,54,14
2015-11-21,I Got The Boy,Jana Kramer,78,81,78,4
2015-11-21,Gonna Know We Were Here,Jason Aldean,79,85,63,4
2015-11-21,Diamonds Dancing,Drake & Future,80,75,53,7
2015-11-21,RGF Island,Fetty Wap,81,78,57,7
2015-11-21,Top Of The World,Tim McGraw,82,89,82,4
2015-11-21,"Me, Myself & I",G-Eazy x Bebe Rexha,83,,83,1
2015-11-21,Levels,Nick Jonas,84,60,44,11
2015-11-21,Cake By The Ocean,DNCE,85,83,79,3
2015-11-21,Exchange,Bryson Tiller,86,98,86,2
2015-11-21,Hold My Hand,Jess Glynne,87,86,86,5
2015-11-21,I Love This Life,LOCASH,88,97,88,2
2015-11-21,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,89,94,71,5
2015-11-21,Dibs,Kelsea Ballerini,90,93,90,2
2015-11-21,Ginza,J Balvin,91,92,84,9
2015-11-21,New Americana,Halsey,92,87,87,9
2015-11-21,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,93,,84,2
2015-11-21,Scholarships,Drake & Future,94,95,69,7
2015-11-21,Beautiful Drug,Zac Brown Band,95,,95,1
2015-11-21,Already Callin' You Mine,Parmalee,96,,96,1
2015-11-21,Jugg,Fetty Wap Featuring Monty,97,99,86,5
2015-11-21,Emperor's New Clothes,Panic! At The Disco,98,68,68,2
2015-11-21,Digital Dash,Drake & Future,99,90,62,7
2015-11-21,We Went,Randy Houser,100,,100,1
2015-11-28,Hello,Adele,1,1,1,3
2015-11-28,Hotline Bling,Drake,2,2,2,15
2015-11-28,Sorry,Justin Bieber,3,4,2,3
2015-11-28,The Hills,The Weeknd,4,3,1,25
2015-11-28,Stitches,Shawn Mendes,5,6,4,25
2015-11-28,What Do You Mean?,Justin Bieber,6,5,1,11
2015-11-28,679,Fetty Wap Featuring Remy Boyz,7,9,4,20
2015-11-28,Wildest Dreams,Taylor Swift,8,8,5,12
2015-11-28,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,9,10,9,19
2015-11-28,Ex's & Oh's,Elle King,10,12,10,19
2015-11-28,Here,Alessia Cara,11,13,11,15
2015-11-28,Can't Feel My Face,The Weeknd,12,14,1,23
2015-11-28,Focus,Ariana Grande,13,7,7,2
2015-11-28,Same Old Love,Selena Gomez,14,17,14,9
2015-11-28,On My Mind,Ellie Goulding,15,18,15,8
2015-11-28,Jumpman,Drake & Future,16,16,12,8
2015-11-28,Locked Away,R. City Featuring Adam Levine,17,11,6,17
2015-11-28,Watch Me,Silento,18,15,3,38
2015-11-28,Lean On,Major Lazer & DJ Snake Featuring MO,19,19,4,32
2015-11-28,Tennessee Whiskey,Chris Stapleton,20,23,20,2
2015-11-28,Renegades,X Ambassadors,21,20,17,31
2015-11-28,Trap Queen,Fetty Wap,22,24,2,43
2015-11-28,Hit The Quan,iLoveMemphis,23,22,15,13
2015-11-28,Antidote,Travis Scott,24,27,24,10
2015-11-28,Die A Happy Man,Thomas Rhett,25,28,25,8
2015-11-28,Good For You,Selena Gomez Featuring A$AP Rocky,26,25,5,21
2015-11-28,I'll Show You,Justin Bieber,27,51,27,2
2015-11-28,White Iverson,Post Malone,28,36,28,10
2015-11-28,Drag Me Down,One Direction,29,26,3,15
2015-11-28,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",30,21,12,12
2015-11-28,Where Ya At,Future Featuring Drake,31,30,28,17
2015-11-28,Confident,Demi Lovato,32,32,31,6
2015-11-28,See You Again,Wiz Khalifa Featuring Charlie Puth,33,34,1,36
2015-11-28,Cheerleader,OMI,34,31,1,30
2015-11-28,My Way,Fetty Wap Featuring Monty,35,35,7,19
2015-11-28,Uptown Funk!,Mark Ronson Featuring Bruno Mars,36,37,1,53
2015-11-28,Photograph,Ed Sheeran,37,33,10,27
2015-11-28,How Deep Is Your Love,Calvin Harris & Disciples,38,29,27,17
2015-11-28,Shut Up And Dance,WALK THE MOON,39,38,4,53
2015-11-28,Perfect,One Direction,40,44,10,4
2015-11-28,Again,Fetty Wap,41,39,33,14
2015-11-28,Don't,Bryson Tiller,42,53,42,7
2015-11-28,Break Up In A Small Town,Sam Hunt,43,42,42,6
2015-11-28,I'm Comin' Over,Chris Young,44,47,44,20
2015-11-28,Thinking Out Loud,Ed Sheeran,45,41,2,58
2015-11-28,Smoke Break,Carrie Underwood,46,49,43,12
2015-11-28,Fight Song,Rachel Platten,47,40,6,31
2015-11-28,Lay It All On Me,Rudimental Featuring Ed Sheeran,48,59,48,6
2015-11-28,Where Are U Now,Skrillex & Diplo With Justin Bieber,49,46,8,37
2015-11-28,No Role Modelz,J. Cole,50,56,50,13
2015-11-28,Burning House,Cam,51,55,50,18
2015-11-28,Strip It Down,Luke Bryan,52,43,30,15
2015-11-28,Break Up With Him,Old Dominion,53,48,44,19
2015-11-28,Back Up,DeJ Loaf Featuring Big Sean,54,54,54,6
2015-11-28,Adventure Of A Lifetime,Coldplay,55,,55,1
2015-11-28,Back To Back,Drake,56,52,21,15
2015-11-28,Say It,Tory Lanez,57,64,57,4
2015-11-28,Come Get Her,Rae Sremmurd,58,58,56,9
2015-11-28,Gonna,Blake Shelton,59,63,59,9
2015-11-28,Let Me See Ya Girl,Cole Swindell,60,61,59,15
2015-11-28,Do It Like Me,DLOW,61,,61,1
2015-11-28,Nothin' Like You,Dan + Shay,62,62,62,14
2015-11-28,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,63,66,63,9
2015-11-28,Roses,The Chainsmokers Featuring Rozes,64,68,64,4
2015-11-28,History,One Direction,65,,65,1
2015-11-28,The Fix,Nelly Featuring Jeremih,66,69,66,7
2015-11-28,Love Myself,Hailee Steinfeld,67,60,30,14
2015-11-28,Liquor,Chris Brown,68,67,60,11
2015-11-28,Stressed Out,twenty one pilots,69,71,69,8
2015-11-28,Big Rings,Drake & Future,70,70,52,8
2015-11-28,Hide Away,Daya,71,76,71,8
2015-11-28,Stay A Little Longer,Brothers Osborne,72,73,72,6
2015-11-28,Writing's On The Wall,Sam Smith,73,,71,2
2015-11-28,Gonna Know We Were Here,Jason Aldean,74,79,63,5
2015-11-28,Alive,Sia,75,,56,2
2015-11-28,Exchange,Bryson Tiller,76,86,76,3
2015-11-28,I Got The Boy,Jana Kramer,77,78,77,5
2015-11-28,Right Hand,Drake,78,74,58,9
2015-11-28,Anything Goes,Florida Georgia Line,79,65,55,18
2015-11-28,Top Of The World,Tim McGraw,80,82,80,5
2015-11-28,Cool For The Summer,Demi Lovato,81,72,11,20
2015-11-28,Comfortable,K Camp,82,77,54,15
2015-11-28,Save It For A Rainy Day,Kenny Chesney,83,75,54,17
2015-11-28,RGF Island,Fetty Wap,84,81,57,8
2015-11-28,Diamonds Dancing,Drake & Future,85,80,53,8
2015-11-28,Cake By The Ocean,DNCE,86,85,79,4
2015-11-28,Traveller,Chris Stapleton,87,,87,1
2015-11-28,Halo,Jordan Smith,88,,88,1
2015-11-28,"Me, Myself & I",G-Eazy x Bebe Rexha,89,83,83,2
2015-11-28,I Love This Life,LOCASH,90,88,88,3
2015-11-28,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,91,,91,1
2015-11-28,Dibs,Kelsea Ballerini,92,90,90,3
2015-11-28,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,93,89,71,6
2015-11-28,Stand By You,Rachel Platten,94,,94,1
2015-11-28,Hold My Hand,Jess Glynne,95,87,86,6
2015-11-28,My House,Flo Rida,96,,96,1
2015-11-28,Ginza,J Balvin,97,91,84,10
2015-11-28,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,98,93,84,3
2015-11-28,Levels,Nick Jonas,99,84,44,12
2015-11-28,Beautiful Drug,Zac Brown Band,100,95,95,2
2015-12-05,Hello,Adele,1,1,1,4
2015-12-05,Sorry,Justin Bieber,2,3,2,4
2015-12-05,Hotline Bling,Drake,3,2,2,16
2015-12-05,Love Yourself,Justin Bieber,4,,4,1
2015-12-05,What Do You Mean?,Justin Bieber,5,6,1,12
2015-12-05,The Hills,The Weeknd,6,4,1,26
2015-12-05,Stitches,Shawn Mendes,7,5,4,26
2015-12-05,679,Fetty Wap Featuring Remy Boyz,8,7,4,21
2015-12-05,Wildest Dreams,Taylor Swift,9,8,5,13
2015-12-05,Here,Alessia Cara,10,11,10,16
2015-12-05,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,11,9,9,20
2015-12-05,Ex's & Oh's,Elle King,12,10,10,20
2015-12-05,Same Old Love,Selena Gomez,13,14,13,10
2015-12-05,Focus,Ariana Grande,14,13,7,3
2015-12-05,On My Mind,Ellie Goulding,15,15,15,9
2015-12-05,Jumpman,Drake & Future,16,16,12,9
2015-12-05,Can't Feel My Face,The Weeknd,17,12,1,24
2015-12-05,Watch Me,Silento,18,18,3,39
2015-12-05,I'll Show You,Justin Bieber,19,27,19,3
2015-12-05,Locked Away,R. City Featuring Adam Levine,20,17,6,18
2015-12-05,Lean On,Major Lazer & DJ Snake Featuring MO,21,19,4,33
2015-12-05,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,22,91,22,2
2015-12-05,Antidote,Travis Scott,23,24,23,11
2015-12-05,Uptown Funk!,Mark Ronson Featuring Bruno Mars,24,36,1,54
2015-12-05,Die A Happy Man,Thomas Rhett,25,25,25,9
2015-12-05,Renegades,X Ambassadors,26,21,17,32
2015-12-05,Hit The Quan,iLoveMemphis,27,23,15,14
2015-12-05,White Iverson,Post Malone,28,28,28,11
2015-12-05,Trap Queen,Fetty Wap,29,22,2,44
2015-12-05,Great Is Thy Faithfulness,Jordan Smith,30,,30,1
2015-12-05,The Feeling,Justin Bieber Featuring Halsey,31,,31,1
2015-12-05,Good For You,Selena Gomez Featuring A$AP Rocky,32,26,5,22
2015-12-05,I'm Comin' Over,Chris Young,33,44,33,21
2015-12-05,Where Are U Now,Skrillex & Diplo With Justin Bieber,34,49,8,38
2015-12-05,Where Ya At,Future Featuring Drake,35,31,28,18
2015-12-05,Confident,Demi Lovato,36,32,31,7
2015-12-05,Perfect,One Direction,37,40,10,5
2015-12-05,Don't,Bryson Tiller,38,42,38,8
2015-12-05,My Way,Fetty Wap Featuring Monty,39,35,7,20
2015-12-05,Drag Me Down,One Direction,40,29,3,16
2015-12-05,See You Again,Wiz Khalifa Featuring Charlie Puth,41,33,1,37
2015-12-05,Mark My Words,Justin Bieber,42,,42,1
2015-12-05,Purpose,Justin Bieber,43,,43,1
2015-12-05,Break Up In A Small Town,Sam Hunt,44,43,42,7
2015-12-05,Again,Fetty Wap,45,41,33,15
2015-12-05,Photograph,Ed Sheeran,46,37,10,28
2015-12-05,Cheerleader,OMI,47,34,1,31
2015-12-05,How Deep Is Your Love,Calvin Harris & Disciples,48,38,27,18
2015-12-05,No Pressure,Justin Bieber Featuring Big Sean,49,,49,1
2015-12-05,Lay It All On Me,Rudimental Featuring Ed Sheeran,50,48,48,7
2015-12-05,Say It,Tory Lanez,51,57,51,5
2015-12-05,No Role Modelz,J. Cole,52,50,50,14
2015-12-05,Company,Justin Bieber,53,,53,1
2015-12-05,No Sense,Justin Bieber Featuring Travi$ Scott,54,,54,1
2015-12-05,Back Up,DeJ Loaf Featuring Big Sean,55,54,54,7
2015-12-05,Smoke Break,Carrie Underwood,56,46,43,13
2015-12-05,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",57,30,12,13
2015-12-05,Burning House,Cam,58,51,50,19
2015-12-05,Do It Like Me,DLOW,59,61,59,2
2015-12-05,Nothin' Like You,Dan + Shay,60,62,60,15
2015-12-05,Gonna,Blake Shelton,61,59,59,10
2015-12-05,Roses,The Chainsmokers Featuring Rozes,62,64,62,5
2015-12-05,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,63,63,63,10
2015-12-05,Break Up With Him,Old Dominion,64,53,44,20
2015-12-05,Come Get Her,Rae Sremmurd,65,58,56,10
2015-12-05,Tennessee Whiskey,Chris Stapleton,66,20,20,3
2015-12-05,Life Is Worth Living,Justin Bieber,67,,67,1
2015-12-05,Back To Back,Drake,68,56,21,16
2015-12-05,Stressed Out,twenty one pilots,69,69,69,9
2015-12-05,Strip It Down,Luke Bryan,70,52,30,16
2015-12-05,The Fix,Nelly Featuring Jeremih,71,66,66,8
2015-12-05,Adventure Of A Lifetime,Coldplay,72,55,55,2
2015-12-05,Gonna Know We Were Here,Jason Aldean,73,74,63,6
2015-12-05,Children,Justin Bieber,74,,74,1
2015-12-05,Hide Away,Daya,75,71,71,9
2015-12-05,Big Rings,Drake & Future,76,70,52,9
2015-12-05,Stay A Little Longer,Brothers Osborne,77,72,72,7
2015-12-05,Exchange,Bryson Tiller,78,76,76,4
2015-12-05,Liquor,Chris Brown,79,68,60,12
2015-12-05,Let Me See Ya Girl,Cole Swindell,80,60,59,16
2015-12-05,Been You,Justin Bieber,81,,81,1
2015-12-05,I Got The Boy,Jana Kramer,82,77,77,6
2015-12-05,If I Could Fly,One Direction,83,,83,1
2015-12-05,Love Myself,Hailee Steinfeld,84,67,30,15
2015-12-05,Top Of The World,Tim McGraw,85,80,80,6
2015-12-05,In The Night,The Weeknd,86,,86,2
2015-12-05,Olivia,One Direction,87,,87,1
2015-12-05,We Are,Justin Bieber Featuring Nas,88,,88,1
2015-12-05,"Me, Myself & I",G-Eazy x Bebe Rexha,89,89,83,3
2015-12-05,Get Used To It,Justin Bieber,90,,90,1
2015-12-05,Right Hand,Drake,91,78,58,10
2015-12-05,I Love This Life,LOCASH,92,90,88,4
2015-12-05,Cake By The Ocean,DNCE,93,86,79,5
2015-12-05,A.M.,One Direction,94,,94,1
2015-12-05,RGF Island,Fetty Wap,95,84,57,9
2015-12-05,Temporary Fix,One Direction,96,,96,1
2015-12-05,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,97,,97,1
2015-12-05,Trust,Justin Bieber,98,,98,1
2015-12-05,My House,Flo Rida,99,96,96,2
2015-12-05,Never Enough,One Direction,100,,100,1
2015-12-12,Hello,Adele,1,1,1,5
2015-12-12,Sorry,Justin Bieber,2,2,2,5
2015-12-12,Hotline Bling,Drake,3,3,2,17
2015-12-12,What Do You Mean?,Justin Bieber,4,5,1,13
2015-12-12,The Hills,The Weeknd,5,6,1,27
2015-12-12,Stitches,Shawn Mendes,6,7,4,27
2015-12-12,Love Yourself,Justin Bieber,7,4,4,2
2015-12-12,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,8,11,8,21
2015-12-12,679,Fetty Wap Featuring Remy Boyz,9,8,4,22
2015-12-12,Here,Alessia Cara,10,10,10,17
2015-12-12,Same Old Love,Selena Gomez,11,13,11,11
2015-12-12,Ex's & Oh's,Elle King,12,12,10,21
2015-12-12,Wildest Dreams,Taylor Swift,13,9,5,14
2015-12-12,Watch Me,Silento,14,18,3,40
2015-12-12,On My Mind,Ellie Goulding,15,15,15,10
2015-12-12,Focus,Ariana Grande,16,14,7,4
2015-12-12,Can't Feel My Face,The Weeknd,17,17,1,25
2015-12-12,Jumpman,Drake & Future,18,16,12,10
2015-12-12,Lean On,Major Lazer & DJ Snake Featuring MO,19,21,4,34
2015-12-12,Antidote,Travis Scott,20,23,20,12
2015-12-12,Uptown Funk!,Mark Ronson Featuring Bruno Mars,21,24,1,55
2015-12-12,When We Were Young,Adele,22,,22,1
2015-12-12,Hit The Quan,iLoveMemphis,23,27,15,15
2015-12-12,Locked Away,R. City Featuring Adam Levine,24,20,6,19
2015-12-12,White Iverson,Post Malone,25,28,25,12
2015-12-12,Trap Queen,Fetty Wap,26,29,2,45
2015-12-12,Perfect,One Direction,27,37,10,6
2015-12-12,Confident,Demi Lovato,28,36,28,8
2015-12-12,Die A Happy Man,Thomas Rhett,29,25,25,10
2015-12-12,Drag Me Down,One Direction,30,40,3,17
2015-12-12,I'll Show You,Justin Bieber,31,19,19,4
2015-12-12,Where Are U Now,Skrillex & Diplo With Justin Bieber,32,34,8,39
2015-12-12,Don't,Bryson Tiller,33,38,33,9
2015-12-12,Where Ya At,Future Featuring Drake,34,35,28,19
2015-12-12,My Way,Fetty Wap Featuring Monty,35,39,7,21
2015-12-12,See You Again,Wiz Khalifa Featuring Charlie Puth,36,41,1,38
2015-12-12,Say It,Tory Lanez,37,51,37,6
2015-12-12,Renegades,X Ambassadors,38,26,17,33
2015-12-12,Break Up In A Small Town,Sam Hunt,39,44,39,8
2015-12-12,Good For You,Selena Gomez Featuring A$AP Rocky,40,32,5,23
2015-12-12,I'm Comin' Over,Chris Young,41,33,33,22
2015-12-12,Again,Fetty Wap,42,45,33,16
2015-12-12,Cheerleader,OMI,43,47,1,32
2015-12-12,No Role Modelz,J. Cole,44,52,44,15
2015-12-12,Do It Like Me,DLOW,45,59,45,3
2015-12-12,The Feeling,Justin Bieber Featuring Halsey,46,31,31,2
2015-12-12,Back Up,DeJ Loaf Featuring Big Sean,47,55,47,8
2015-12-12,Photograph,Ed Sheeran,48,46,10,29
2015-12-12,Burning House,Cam,49,58,49,20
2015-12-12,Lay It All On Me,Rudimental Featuring Ed Sheeran,50,50,48,8
2015-12-12,Roses,The Chainsmokers Featuring Rozes,51,62,51,6
2015-12-12,How Deep Is Your Love,Calvin Harris & Disciples,52,48,27,19
2015-12-12,Adventure Of A Lifetime,Coldplay,53,72,53,3
2015-12-12,In The Night,The Weeknd,54,86,54,3
2015-12-12,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,55,97,55,2
2015-12-12,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",56,57,12,14
2015-12-12,Stressed Out,twenty one pilots,57,69,57,10
2015-12-12,Nothin' Like You,Dan + Shay,58,60,58,16
2015-12-12,Smoke Break,Carrie Underwood,59,56,43,14
2015-12-12,Mark My Words,Justin Bieber,60,42,42,2
2015-12-12,Hide Away,Daya,61,75,61,10
2015-12-12,Purpose,Justin Bieber,62,43,43,2
2015-12-12,Gonna,Blake Shelton,63,61,59,11
2015-12-12,Come Get Her,Rae Sremmurd,64,65,56,11
2015-12-12,Strip It Down,Luke Bryan,65,70,30,17
2015-12-12,The Fix,Nelly Featuring Jeremih,66,71,66,9
2015-12-12,Back To Back,Drake,67,68,21,17
2015-12-12,Gonna Know We Were Here,Jason Aldean,68,73,63,7
2015-12-12,Stay A Little Longer,Brothers Osborne,69,77,69,8
2015-12-12,Water Under The Bridge,Adele,70,,70,1
2015-12-12,Exchange,Bryson Tiller,71,78,71,5
2015-12-12,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,72,22,22,3
2015-12-12,Company,Justin Bieber,73,53,53,2
2015-12-12,No Pressure,Justin Bieber Featuring Big Sean,74,49,49,2
2015-12-12,Big Rings,Drake & Future,75,76,52,10
2015-12-12,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,76,63,63,11
2015-12-12,Used To Love You,Gwen Stefani,77,,77,2
2015-12-12,No Sense,Justin Bieber Featuring Travi$ Scott,78,54,54,2
2015-12-12,Send My Love (To Your New Lover),Adele,79,,79,1
2015-12-12,Tennessee Whiskey,Chris Stapleton,80,66,20,4
2015-12-12,I Got The Boy,Jana Kramer,81,82,77,7
2015-12-12,Top Of The World,Tim McGraw,82,85,80,7
2015-12-12,My House,Flo Rida,83,99,83,3
2015-12-12,Liquor,Chris Brown,84,79,60,13
2015-12-12,"Me, Myself & I",G-Eazy x Bebe Rexha,85,89,83,4
2015-12-12,Cake By The Ocean,DNCE,86,93,79,6
2015-12-12,Remedy,Adele,87,,87,1
2015-12-12,I Love This Life,LOCASH,88,92,88,5
2015-12-12,Life Is Worth Living,Justin Bieber,89,67,67,2
2015-12-12,Let Me See Ya Girl,Cole Swindell,90,80,59,17
2015-12-12,Stand By You,Rachel Platten,91,,91,2
2015-12-12,Right Hand,Drake,92,91,58,11
2015-12-12,Love Myself,Hailee Steinfeld,93,84,30,16
2015-12-12,Dibs,Kelsea Ballerini,94,,90,4
2015-12-12,Ginza,J Balvin,95,,84,11
2015-12-12,RGF Island,Fetty Wap,96,95,57,10
2015-12-12,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,97,,97,1
2015-12-12,Best Friend,Young Thug,98,,98,1
2015-12-12,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,99,,84,4
2015-12-12,Rich $ex,Future,100,,100,1
2015-12-19,Hello,Adele,1,1,1,6
2015-12-19,Sorry,Justin Bieber,2,2,2,6
2015-12-19,Hotline Bling,Drake,3,3,2,18
2015-12-19,What Do You Mean?,Justin Bieber,4,4,1,14
2015-12-19,The Hills,The Weeknd,5,5,1,28
2015-12-19,Stitches,Shawn Mendes,6,6,4,28
2015-12-19,Love Yourself,Justin Bieber,7,7,4,3
2015-12-19,Here,Alessia Cara,8,10,8,18
2015-12-19,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,9,8,8,22
2015-12-19,Same Old Love,Selena Gomez,10,11,10,12
2015-12-19,679,Fetty Wap Featuring Remy Boyz,11,9,4,23
2015-12-19,Ex's & Oh's,Elle King,12,12,10,22
2015-12-19,On My Mind,Ellie Goulding,13,15,13,11
2015-12-19,Wildest Dreams,Taylor Swift,14,13,5,15
2015-12-19,Jumpman,Drake & Future,15,18,12,11
2015-12-19,Can't Feel My Face,The Weeknd,16,17,1,26
2015-12-19,Focus,Ariana Grande,17,16,7,5
2015-12-19,Watch Me,Silento,18,14,3,41
2015-12-19,Antidote,Travis Scott,19,20,19,13
2015-12-19,Lean On,Major Lazer & DJ Snake Featuring MO,20,19,4,35
2015-12-19,Confident,Demi Lovato,21,28,21,9
2015-12-19,White Iverson,Post Malone,22,25,22,13
2015-12-19,Die A Happy Man,Thomas Rhett,23,29,23,11
2015-12-19,Don't,Bryson Tiller,24,33,24,10
2015-12-19,Locked Away,R. City Featuring Adam Levine,25,24,6,20
2015-12-19,All I Want For Christmas Is You,Mariah Carey,26,,21,11
2015-12-19,Perfect,One Direction,27,27,10,7
2015-12-19,Trap Queen,Fetty Wap,28,26,2,46
2015-12-19,Where Ya At,Future Featuring Drake,29,34,28,20
