updateDt,title,source,translated,remove_stopword,lemmatization
2018-02-03 00:00:00+00:00,"'결혼' 태양♥민효린 측 ""축하 감사...잘 사는 모습으로 보답""",ko,"'Follow' Solar♥Min Hyo-Side ""Sound Thanks... Well ""I'm going to see you""",[ Promotion ] ‘ Promotional Al-Line ’ BIGBANG Winning 1 year 6 months,"SOLAR ♥ MIN HYORIN FATIGUE SOCIETY DAESUNG , SHANDONG CL - RAIL"
2018-02-03 00:00:00+00:00,"`결혼` 태양 민효린 측 ""행복한 모습으로 성원 보답할 것""",ko,"""Will respond to the sanctuary with the sun rage side""",[ Promotion ] 'Promotional Alternator ' BIGBANG Winning 1 year 6 months,"` ` follow '' Sun ♥ Min Hyorin couple , tired scene public ` ` the picture width ''"
2018-02-03 00:00:00+00:00,"‘태양-민효린’ 결혼식 마무리, 양측 “새로운 시작 응원 부탁”",ko,"""Solar-Min Hyorin"" wedding finish, two sides ""New start cheering""",[ 2Previous ] ‘ Previous Moon ’ BIGBANG Winning 1 year 6 months ..,"yg "" SOLAR ♥ MIN HYO - RIN MARRIED , blessing and blessing of the FATIGUE SOCIETY """
2018-02-03 00:00:00+00:00,태양♥민효린 백년가약...쏟아지는 축복,ko,Sun ♥Min Hyo-rin White Year Pills... Blessings,'Property Vendor Al-Line Demonstration ' Big Bang Winning 1 year 6 months,"winxicon , ` amaze my brother ` ( feat . ) cheerleader Blast"
2018-02-04 00:00:00+00:00,소속사가 제공한 태양♥민효린 결혼식 후 영종도 애프터 파티 사진,ko,Photo by a photo of the photo of the photo of the photo of the Youngjongdo after the wedding,"Military Court , BIGBANG Wins ‘ Promotional Alship ’ 3 years",Sun Min Hyorin 's wedding year 's flower embroidery dress
2018-02-04 00:00:00+00:00,태양♥민효린 측 “새로운 시작에 많은 응원 부탁”(전문),ko,Solar ♥Min Hyorin side “A lot of support to new start” (special),Wins Jingsang 3 years Sungo-ro,` ` Izen Couple '' Sun Min Hyo wed pic public
2018-02-04 00:00:00+00:00,"태양♥민효린 양측 ""새로운 시작에 많은 응원 부탁드립니다""",ko,"Sun ♥Min Hyorin Both Sides ""Let's cheer for a new start""","[ 8/13 ( Fri ) Daily An Commute-gil News ] Disaster Prevention Experts , Kim Jong-ri “ Don ’ reorganize street strategy ”",""" I ' know medicine "" "" Ayeom "" tribute tribute"
2018-02-04 00:00:00+00:00,"""아름다운 신혼부부"" 태양 민효린, 결혼식 피로연 사진 공개 MC 조세호 양현석X싸이 축사",ko,"""BEAUTIFUL HONEYMOON"" SUN MIN HYORIN, WEDDING PICS PUBLIC MC CHOSEHO YANGHYEONSEOKX-CHANG",[ Swimming Bird ] `` Swimming Grand Prix Colorlessly Sexually Possible Fetal Death '',"victory "" Big Bang Members , no Sun & No Girlfriend """
2018-02-04 00:00:00+00:00,"태양 민효린, 결혼식 피로연 사진 포착 ""올해의 결혼""",ko,"Sun Min Hyorin, wedding picture capture ""Married of the Year""","Court , Victory Al-Line , Victory BIGBANG , 3rd Year Jurisdiction","bigbang win , first star China film ' Wooju Yuaeman - dong ' ."
2018-02-04 00:00:00+00:00,"[공식입장 전문] 태양♥민효린 측 “조세호 MC, 새로운 부부 탄생 축하”",ko,"[OFFICIAL ADMISSION SPECIAL] SUN ♥MIN HYO-SIDE “JOSEI HO MC, NEW COUPLE BIRTH CELEBRATION”",[ Prohibition ] 'Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition,win Romantic Love Story
2018-02-04 00:00:00+00:00,"'아는형님' 승리 ""빅뱅, 태양 빼고 다 여자친구 없다""",ko,"""I don't have a big bang, no sun and no girlfriend""","BIGBANG wins , 3rd year courtesy `` Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional Proportional '' [ Total ]","bigbang win , ` ` so I not know '' I ' m really ..."
2018-02-04 00:00:00+00:00,"YG 측 ""태양♥민효린 피로연, 양현석+싸이 축사-조세호 MC",ko,"YG SIDE ""SOLAR ♥MIN HYO-RIN FATIGUEYEON, YANGHYEONSEOK+CROSS-JOSEY MC",'Property Vendor Al-Line ' Big Bang win 1st trial 3 years,"[ today Yeongdeok ] bigbang win , 中 movie first star next month open"
2018-02-04 00:00:00+00:00,"YG엔터, 태양 민효린 결혼식 사진 공개",ko,"YG ENTERTAINMENT, SUN MIN HYO HYO WEDDING PHOTO PUBLIC","The Big Bang three-year-old military court , court proceeds","copyright ( C ) 2010 - 2019 SQUARE ENIX CO . , LTD . all Rights Reserved . public "" married , Amazing work """
2018-02-04 00:00:00+00:00,"태양♥민효린 결혼, 소속사 측 “모든 분들께 감사..새로운 부부의 탄생 축하”",ko,"Sun♥Min Hyorin marriage, agency side “Thanks to everyone..New couple's birth celebration”",[ News : Second ] Up 4 times event congregation,"copyright ( C ) 2010 - 2018 SQUARE ENIX CO . , LTD . all Rights reserve"
2018-02-04 00:00:00+00:00,"태양♥민효린 결혼, 피로연 사진 공개 ‘다정한 팔짱’",ko,"Sun ♥Min Hyo-rin wedding, pictorial public ‘Dark Palchan’",Military Lawyer 'Property Al-Line ' Big Bang 3rd anniversary election,"Sun - Min Hyorin wedding pic public , World party planner Yeonsongmartin planning"
2018-02-04 00:00:00+00:00,"""이젠 부부"" 태양 민효린 결혼식 피로연 사진 공개",ko,"""Izen Couple"" Sun Min Hyo wedding pics public",[ YISHU ] YG 'S SPRINTING IS GOING TO GO ... WINLEY→BAI→YUI→YUI,"Sun ♥ Min Hyorin marriage , agency side "" thank everyone .. new couple 's birth celebration """
2018-02-04 00:00:00+00:00,"승리 “빅뱅 멤버, 태양 빼고 여자친구 없다”",ko,"Victory “Big Bang Members, No Sun & No Girlfriend”",[ Exclusive ] BIGBANG wins “ Exclusive Plan ” 3 consecutive years,"Sun ♥ Min Hyo - rin wedding , pictorial public ' Dark Palchan '"
2018-02-04 00:00:00+00:00,"태양♥민효린, 동화 속 왕자공주 같은 피로연 사진 공개",ko,"Copyright (C) 2010 - 2018 SQUARE ENIX CO., LTD. All Rights Reserved","Winning single-to-one ‘ Bundled Sun Police General ’ Yoon Kyu-kyung , fine KRW 2 million","yg ENTERTAINMENT , SUN MIN HYO HYO wedding PHOTO PUBLIC"
2018-02-04 00:00:00+00:00,“난 약을 안해” ‘아는형님’ 초토화 시킨 승리표 사이다 토크,ko,“I don’t know the medicine” “Ayeom” is a tribute to be a tribute,"[ D : PICK ] ONECNC BLUE , THERE ARE NO OLD CLIPS FOR THEIR MUSIC","yg SIDE ` ` SOLAR ♥ MIN HYO - RIN FATIGUEYEON , YANGHYEONSEOK+CROSS - JOSEY MC"
2018-02-04 00:00:00+00:00,태양-민효린 결혼 축가 동료 가수 자이언티,ko,Sun-Min Hyolyn Married Alumni singer Giant,"GENRE PLATFORM AFFILIATE INDUSTRY K CONTENT , HARM BOUNDARIES","` ` I not big bang , sun girlfriend ''"
2018-02-04 00:00:00+00:00,태양 민효린 '올해의 결혼식' 꽃자수 드레스 입고 피로연,ko,Sun Min Hyorin's wedding of the year's flower embroidery dress,"`` Restaurants '' Yu-Suk , Special Explosion-Profession-Profession-Profession-Profession-Profession-Profession-Profession-Profession","[ official admission SPECIAL ] SUN ♥ MIN HYO - SIDE "" JOSEI HO MC , new couple BIRTH CELEBRATION """
2018-02-04 00:00:00+00:00,"민효린♡태양 피로연 사진 공개 “올해의 결혼, 놀라운 일”",ko,"Copyright (C) 2010 - 2019 SQUARE ENIX CO., LTD. All Rights Reserved. Public “Married, Amazing Work”",BIGBANG wins win-back win-win win-win,"Sun Min Hyorin , wed picture capture ` ` Married Year ''"
2018-02-04 00:00:00+00:00,"태양-민효린 결혼식 피로연 사진 공개, 세계적 파티 플래너 영송마틴이 기획",ko,"Sun-Min Hyorin wedding pics public, World party planner Yeonsongmartin planning",BigBang wins cheering cheering cheering cheering cheering,"` ` BEAUTIFUL HONEYMOON '' SUN MIN HYORIN , wedding PICS PUBLIC MC CHOSEHO YANGHYEONSEOKX - CHANG"
2018-02-04 00:00:00+00:00,"‘아는 형님’ 빅뱅 승리, 나이트클럽에서 굴욕당한 사연? “여성들이 거부 반응 보여” ‘왜?’",ko,"‘Amazing brother’ BIGBANG Wins, Is it a humiliated in the night club? “Why do women show rejection” “Why?”","BigBang wins `` Bang Dong-won '' Yu-in-suk , Eun-yu",Sun ♥ Min Hyorin both Sides ` ` let us cheer new start ''
2018-02-04 00:00:00+00:00,"YG엔터 측 ""태양-민효린 결혼 축복속에 잘 마무리""",ko,"YG ENTERTAINMENT ""SOLAR-MIN HYO-RIN WEDDING BLESSINGS WELL FINISHED""","“ Just judges ” , “ Just statements ... How win BIGBANG ?","Solar ♥ Min Hyorin side "" a lot support new start "" ( special )"
2018-02-04 00:00:00+00:00,"송백경, 태양♥민효린 결혼식서 블랙핑크와 인증샷 “영광스러운 순간”",ko,"Songbaek, Sun♥Invited wedding book BLACKPINK and certified shot “Infinite Moments”","BIGBANG , YG 5 % ↓",photo photo photo photo photo Youngjongdo wedding
2018-02-04 00:00:00+00:00,"“난, 약 안해” ‘아는 형님’ 승리표 예능에 ‘빵빵’",ko,"“I don’t know about,” “I don’t know,” “Kita Bread”",'Property Vendor Al-Line ' 'Property Betting ' Big Bang 'Property ' Station 3 years,Sun - Min Hyolyn Married Alumni singer Giant
2018-02-05 00:00:00+00:00,‘아는형님’ 아이콘 “‘노잼’ 멘트의 완성은 빅뱅 승리”(인터뷰),ko,‘Arirang’ Icon “The Complete of ‘Arirang’ Arirang’,"'Property Vendor Alta ' wins Big Bang , 3 years Litigation","the victory film ' Uju Yu - ae - man - dong oil ' swaying "" love human heart , know universe """
2018-02-05 00:00:00+00:00,"태양-민효린, 3일 결혼..사진 공개",ko,"Sun-Min Hyorin, 3 days marriage..Photo reveal","[ No . 1 ] Former BIGBANG Wins , 9 Prohibitions Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition Prohibition","Win , 7 year study prove fluent chinese skill without interpreter"
2018-02-08 00:00:00+00:00,"빅뱅 승리, 첫 영화 2년 만에 공개 ‘우주유애낭만동유’ 中 전역 개봉",ko,BIGBANG wins the first two years of the film 'Uju Yuaeman-dongyu',BIGBANG wins new release ... The 5th year old results ?,"' Station Ganiel ' Kangdaniel , Boy Group Private Brand flat 1st place 2nd place Big Bang Solar , 3rd place Warnerwon ' Wingging ' Park Jihun"
2018-02-08 00:00:00+00:00,"빅뱅 승리, 中 영화 첫 번째 주연작 '우주유애낭만동유' 3월 개봉",ko,"BIGBANG wins, the first starring of the Korean film 'Wooju Yuae Man-dong' released in March","Victory Big Bang , 3rd anniversary military court `` It social harassment ''","Big Bang Wins , Korean Films First Commemorative March"
2018-02-08 00:00:00+00:00,"빅뱅 승리, 데뷔 첫 중국영화 ‘우주유애낭만동유’ 3월 개봉",ko,BIGBANG wins the first Chinese movie 'Wooju Yuaeman-dongyu' released in March,"Court , 'Property Al-Line ' Victory , 3 years Jeonggo Court","bigbang win , 中 Movies First Commemorative Bale Stripping March"
2018-02-08 00:00:00+00:00,"빅뱅 승리, 中 영화 첫 주연작 3월 개봉",ko,"Big Bang Wins, Korean Films First Commemorative March","Big Bang Military Court , 3 years legal court",""" I ' know , "" "" I ' know , "" "" Kita Bread """
2018-02-08 00:00:00+00:00,"빅뱅 승리 中영화 진출, 영화 ‘우주유애낭만동유’ 3월 2일 개봉 확정",ko,BIGBANG WIN 中 film launches ‘Wooju Yuaeman-dongyu’ held on March 2,"'Property Vendor Al-Line ' BIGBANG wins , 3 years legal proceed","bigbang win , China Film First Week Commemorative Commemoration March !"
2018-02-08 00:00:00+00:00,승리 주연 영화 中개봉 한한령 해제 신호탄?,ko,Do you want to play a game?,"'Property Vendor Al-Line ' BIGBANG wins , 3 years legal proceed","bigbang win , first star film ' Wooju Yuae Man - dong Oil ' release March"
