text,updateDt,video_id,remove_emoji,source,translated,remove_stopword,lemmatization
:'v is so sad,2018-03-03 00:00:00+00:00,HAW4yrdZhIE,:'v is so sad,en,:'v is so sad,: ' v sad,: ' v sad
"I thought my mom who hated K-pop knew nothing about K-pop until she found one of my Yesung's  poster and she called him Super Junior. Maybe its just a coincidence cuz our parents here only know that any K-pop group is Super Junior even if it's not. And don't ask about Lee Min Ho, even my grandma had a crush on him.",2018-09-09 00:00:00+00:00,hii0tpk8Dss,"I thought my mom who hated K-pop knew nothing about K-pop until she found one of my Yesung's  poster and she called him Super Junior. Maybe its just a coincidence cuz our parents here only know that any K-pop group is Super Junior even if it's not. And don't ask about Lee Min Ho, even my grandma had a crush on him.",en,"I thought my mom who hated K-pop knew nothing about K-pop until she found one of my Yesung's  poster and she called him Super Junior. Maybe its just a coincidence cuz our parents here only know that any K-pop group is Super Junior even if it's not. And don't ask about Lee Min Ho, even my grandma had a crush on him.","I thought mom hated K-pop knew nothing K-pop found one Yesung 's poster called Super Junior . Maybe coincidence cuz parents know K-pop group Super Junior even 's . And n't ask Lee Min Ho , even grandma crush .","I think mom hate k - pop know nothing k - pop find one Yesung 's poster call Super Junior . maybe coincidence cuz parent know k - pop group Super Junior even be . and not ask Lee Min Ho , even grandma crush ."
I'm still here everyday. This song won't leave my head nor do I ever wish for it to.,2018-09-07 00:00:00+00:00,Q7sHwg2Z21U,I'm still here everyday. This song won't leave my head nor do I ever wish for it to.,en,I'm still here everyday. This song won't leave my head nor do I ever wish for it to.,I 'm still everyday . This song wo n't leave head I ever wish .,I ' m still everyday . this song will not leave head I ever wish .
0:28 who’s in the bathroom?,2019-01-30 00:00:00+00:00,Qo55vEgzvgI,0:28 who’s in the bathroom?,en,0:28 who’s in the bathroom?,0:28 ’ bathroom ?,0:28 ' bathroom ?
I cant found seungri in ILA ep 235. Which episode is this?,2018-05-01 00:00:00+00:00,AZk7RBpeaHM,I cant found seungri in ILA ep 235. Which episode is this?,en,I cant found seungri in ILA ep 235. Which episode is this?,I cant found seungri ILA ep 235 . Which episode ?,I can not find seungri ILA ep 235 . which episode ?
2:37 that man sitting next to mino is hot,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,2:37 that man sitting next to mino is hot,en,2:37 that man sitting next to mino is hot,2:37 man sitting next mino hot,2:37 man sit next mino hot
Jisoo seemed so focused. Hmmmm 🤔😂😂💜,2018-07-25 00:00:00+00:00,YZqxolXNC2k,Jisoo seemed so focused. Hmmmm ,en,Jisoo seemed so focused. Hmmmm ,Jisoo seemed focused . Hmmmm,Jisoo seem focused . hmmmm
Aww sungri always includes his hyungs❤️👏,2018-07-12 00:00:00+00:00,hii0tpk8Dss,Aww sungri always includes his hyungs,en,Aww sungri always includes his hyungs,Aww sungri always includes hyungs,Aww sungri always include hyung
일은 명령하면서 내리 꽂는게 아니라 니가 하는거야,2018-06-07 00:00:00+00:00,AZk7RBpeaHM,일은 명령하면서 내리 꽂는게 아니라 니가 하는거야,ko,I'm going to do so as not to plug in while commanding,I 'm going plug commanding,I ' m go plug command
seungri selling drink in Malaysia?? seriously??,2018-03-12 00:00:00+00:00,AZk7RBpeaHM,seungri selling drink in Malaysia?? seriously??,id,buy drink in Malaysia? okay?,buy drink Malaysia ? okay ?,buy drink Malaysia ? okay ?
What is the song called that is played at the end,2019-01-29 00:00:00+00:00,Qo55vEgzvgI,What is the song called that is played at the end,en,What is the song called that is played at the end,What song called played end,what song call play end
"well, he is the real ""Crazy Rich Asian"" for me.. kkkk",2018-09-19 00:00:00+00:00,hii0tpk8Dss,"well, he is the real ""Crazy Rich Asian"" for me.. kkkk",en,"well, he is the real ""Crazy Rich Asian"" for me.. kkkk","well , real `` Crazy Rich Asian '' .. kkkk","well , real ` ` Crazy Rich Asian '' .. kkkk"
am i the only one that's sad coz of the views? uri panda deserves more,2018-07-28 00:00:00+00:00,Q7sHwg2Z21U,am i the only one that's sad coz of the views? uri panda deserves more,en,am i the only one that's sad coz of the views? uri panda deserves more,one 's sad coz views ? uri panda deserves,one 's sad coz view ? uri panda deserve
"Yeeees girl 😂SUJU is Going here in the philippines for #SS7 concert. This coming June 30😍 and I'm so happy  for almost 11 years being an ELF this is the first time that I can see them in person 😢😭😍
GUSTO KO LANG EH SHARE K-BYE",2018-06-05 00:00:00+00:00,hii0tpk8Dss,"Yeeees girl SUJU is Going here in the philippines for #SS7 concert. This coming June 30 and I'm so happy  for almost 11 years being an ELF this is the first time that I can see them in person 
GUSTO KO LANG EH SHARE K-BYE",en,"Yeeees girl SUJU is Going here in the philippines for #SS7 concert. This coming June 30 and I'm so happy  for almost 11 years being an ELF this is the first time that I can see them in person 
GUSTO KO LANG EH SHARE K-BYE",Yeeees girl SUJU Going philippines # SS7 concert . This coming June 30 I 'm happy almost 11 years ELF first time I see person GUSTO KO LANG EH SHARE K-BYE,yeeee girl SUJU go philippine # SS7 concert . this come June 30 I ' m happy almost 11 year ELF first time I see person GUSTO KO LANG eh SHARE K - BYE
"santai seungri.  Kalian punya area masing2.. Kebetulan aja jalan jalannya di Indonesia. SJ emang yg bawa kpop ke indo. I mean, mereka boyband pertama yg konser solo di Indonesia. Kalo di tempat lain, bisa jadi beda.. Big Bang ataupun SJ udah pasti pantes disebut Legend. Btw, I'm an ELF but I respect to the Big Bang.. ♡♡",2018-05-30 00:00:00+00:00,hii0tpk8Dss,"santai seungri.  Kalian punya area masing2.. Kebetulan aja jalan jalannya di Indonesia. SJ emang yg bawa kpop ke indo. I mean, mereka boyband pertama yg konser solo di Indonesia. Kalo di tempat lain, bisa jadi beda.. Big Bang ataupun SJ udah pasti pantes disebut Legend. Btw, I'm an ELF but I respect to the Big Bang.. ♡♡",id,"relax. You have an area of each2. The chance of the road in Indonesia. SJ emang to indo. I mean, they were the first boyband who concert solo in Indonesia. Kalo in another place, can be a difference. Big Bang or SJ udah definitely pantes called Legend. Btw, I'm an ELF but I respect to the Big Bang.","relax . You area each2 . The chance road Indonesia . SJ emang indo . I mean , first boyband concert solo Indonesia . Kalo another place , difference . Big Bang SJ udah definitely pantes called Legend . Btw , I 'm ELF I respect Big Bang .","relax . you area each2 . the chance road Indonesia . SJ emang indo . I mean , first boyband concert solo Indonesia . kalo another place , difference . Big Bang SJ udah definitely pantes call Legend . btw , I ' m ELF I respect Big Bang ."
*1 2 3 🕺🕺💃💃 wow I'm really love this 😂😍💕💃*,2018-08-05 00:00:00+00:00,Q7sHwg2Z21U,*1 2 3  wow I'm really love this *,en,*1 2 3  wow I'm really love this *,* 1 2 3 wow I 'm really love *,* 1 2 3 wow I ' m really love *
Loveee!!,2018-07-22 00:00:00+00:00,MtW75y4kEfY,Loveee!!,nl,Loveee! !,Loveee ! !,loveee ! !
Hotdamn!😍,2018-07-22 00:00:00+00:00,MtW75y4kEfY,Hotdamn!,sv,Hotdamn!,Hotdamn !,hotdamn !
"My personal favourite highlights:
- Seungri x bamboo 10/10 best ship
- Mino in that uniform hot as hell please douse me in holy water 
- Seungri is officially part of BP just confirm it YG 
- YG bringing world peace no surprises there 
- some very nice foreshadowing of the future #SeungriForCEO
- Seungri getting back at the dig Jiyong made in his song",2018-07-27 00:00:00+00:00,m2MtOeuCgh8,"My personal favourite highlights:
- Seungri x bamboo 10/10 best ship
- Mino in that uniform hot as hell please douse me in holy water 
- Seungri is officially part of BP just confirm it YG 
- YG bringing world peace no surprises there 
- some very nice foreshadowing of the future #SeungriForCEO
- Seungri getting back at the dig Jiyong made in his song",en,"My personal favourite highlights:
- Seungri x bamboo 10/10 best ship
- Mino in that uniform hot as hell please douse me in holy water 
- Seungri is officially part of BP just confirm it YG 
- YG bringing world peace no surprises there 
- some very nice foreshadowing of the future #SeungriForCEO
- Seungri getting back at the dig Jiyong made in his song",My personal favourite highlights : - Seungri x bamboo 10/10 best ship - Mino uniform hot hell please douse holy water - Seungri officially part BP confirm YG - YG bringing world peace surprises - nice foreshadowing future # SeungriForCEO - Seungri getting back dig Jiyong made song,my personal favourite highlight : - seungri x bamboo 10/10 good ship - Mino uniform hot hell please douse holy water - seungri officially part BP confirm YG - yg bring world peace surprise - nice foreshadow future # seungriforceo - Seungri get back dig Jiyong make song
"It always like this.  When suju ask about boy group they say they know bb,  when bb ask ,they say they know suju 😂",2018-05-30 00:00:00+00:00,hii0tpk8Dss,"It always like this.  When suju ask about boy group they say they know bb,  when bb ask ,they say they know suju ",en,"It always like this.  When suju ask about boy group they say they know bb,  when bb ask ,they say they know suju ","It always like . When suju ask boy group say know bb , bb ask , say know suju","it always like . when suju ask boy group say know bb , bb ask , say know suju"
Two things why i Watch this video ... bigbang and suju in one sentence is life .. My very best boyband #legends,2018-05-31 00:00:00+00:00,hii0tpk8Dss,Two things why i Watch this video ... bigbang and suju in one sentence is life .. My very best boyband #legends,en,Two things why i Watch this video ... bigbang and suju in one sentence is life .. My very best boyband #legends,Two things Watch video ... bigbang suju one sentence life .. My best boyband # legends,two thing watch video ... bigbang suju one sentence life .. my good boyband # legend
Dô messenger e hỏi chút,2018-11-09 00:00:00+00:00,ovL8KC_tCQ0,Dô messenger e hỏi chút,en,Dô messenger e hỏi chút,Dô messenger e hỏi chút,dô messenger e hỏi chút
"That's BIGBANG THO😏😏...
I'm so proud of my YG boys 😏😍
#BIGBANG #YG",2018-03-29 00:00:00+00:00,Qo55vEgzvgI,"That's BIGBANG THO...
I'm so proud of my YG boys 
#BIGBANG #YG",en,"That's BIGBANG THO...
I'm so proud of my YG boys 
#BIGBANG #YG",That 's BIGBANG THO ... I 'm proud YG boys # BIGBANG # YG,that be bigbang THO ... I ' m proud YG boy # bigbang # yg
Haha,2018-07-26 00:00:00+00:00,hii0tpk8Dss,Haha,en,Haha,Haha,haha
Is the part at 0:55 is in Killing Me choreo? If not they should add it cause that looks really good,2018-09-04 00:00:00+00:00,Jyhy6lnVwyA,Is the part at 0:55 is in Killing Me choreo? If not they should add it cause that looks really good,en,Is the part at 0:55 is in Killing Me choreo? If not they should add it cause that looks really good,Is part 0:55 Killing Me choreo ? If add cause looks really good,be part 0:55 kill I choreo ? if add cause look really good
:v,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,:v,sk,:,:,:
THIS IS SO GOOD. IDK WHAT I WAS EXPECTING BUT THIS IS WAY MORE. Hands down to The great seungri.,2018-07-20 00:00:00+00:00,Q7sHwg2Z21U,THIS IS SO GOOD. IDK WHAT I WAS EXPECTING BUT THIS IS WAY MORE. Hands down to The great seungri.,en,THIS IS SO GOOD. IDK WHAT I WAS EXPECTING BUT THIS IS WAY MORE. Hands down to The great seungri.,THIS IS SO GOOD . IDK WHAT I WAS EXPECTING BUT THIS IS WAY MORE . Hands The great seungri .,this be so good . idk what I be expect but this be way MORE . hand the great seungri .
"No wonder Jennie said  "" it's a tip that I need "" 😂 #JenKai ♥",2019-01-01 00:00:00+00:00,YZqxolXNC2k,"No wonder Jennie said  "" it's a tip that I need ""  #JenKai ",en,"No wonder Jennie said  "" it's a tip that I need ""  #JenKai ",No wonder Jennie said `` 's tip I need `` # JenKai,no wonder Jennie say ` ` be tip I need ` ` # jenkai
"- Do you know any other boy bands?
- No.
Seungri's like: what is my life?",2018-07-27 00:00:00+00:00,hii0tpk8Dss,"- Do you know any other boy bands?
- No.
Seungri's like: what is my life?",en,"- Do you know any other boy bands?
- No.
Seungri's like: what is my life?",- Do know boy bands ? - No . Seungri 's like : life ?,- do know boy band ? - no . seungri be like : life ?
Koreans should know how huge suju is internationally tbh. Also lmao seurngri sadly playing Flower Path at the end 😂,2018-05-30 00:00:00+00:00,hii0tpk8Dss,Koreans should know how huge suju is internationally tbh. Also lmao seurngri sadly playing Flower Path at the end ,en,Koreans should know how huge suju is internationally tbh. Also lmao seurngri sadly playing Flower Path at the end ,Koreans know huge suju internationally tbh . Also lmao seurngri sadly playing Flower Path end,Koreans know huge suju internationally tbh . also lmao seurngri sadly play Flower Path end
1:37 ㅋㅋㅋㅋㅋㅋㅋ,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,1:37 ㅋㅋㅋㅋㅋㅋㅋ,en,1:37 ㅋㅋㅋㅋㅋㅋㅋ,1:37 ㅋㅋㅋㅋㅋㅋㅋ,1:37 ㅋㅋㅋㅋㅋㅋㅋ
"He's definitely showing off , but i still love him , panda",2018-03-12 00:00:00+00:00,AZk7RBpeaHM,"He's definitely showing off , but i still love him , panda",en,"He's definitely showing off , but i still love him , panda","He 's definitely showing , still love , panda","he be definitely show , still love , panda"
Big bang maknae grown a lot,2018-05-22 00:00:00+00:00,AZk7RBpeaHM,Big bang maknae grown a lot,tl,Big maknae grown a lot,Big maknae grown lot,big maknae grow lot
1 : 51 omg 😂😂😂,2019-01-04 00:00:00+00:00,YZqxolXNC2k,1 : 51 omg ,en,1 : 51 omg ,1 : 51 omg,1 : 51 omg
lalisa,2018-08-02 00:00:00+00:00,-ODTMpRFS5A,lalisa,tl,laundry,laundry,laundry
그레이트❤❤❤❤❤❤❤,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,그레이트,ko,Scots Gaelic,Scots Gaelic,Scots Gaelic
Anda’s smile looks like Lee Hi’s a bit,2018-07-29 00:00:00+00:00,j0N2GJUkE6Y,Anda’s smile looks like Lee Hi’s a bit,et,Anda's smile would look like Lee Hi's a bit,Anda 's smile would look like Lee Hi 's bit,Anda 's smile would look like Lee Hi 's bit
"I'm elf but riri its my fav in bigbang , poor riri 😂😂 
Love SJ & BIGBANG #2ndgenStand #goldenera 💖💙💖",2018-05-31 00:00:00+00:00,hii0tpk8Dss,"I'm elf but riri its my fav in bigbang , poor riri  
Love SJ & BIGBANG #2ndgenStand #goldenera ",en,"I'm elf but riri its my fav in bigbang , poor riri  
Love SJ & BIGBANG #2ndgenStand #goldenera ","I 'm elf riri fav bigbang , poor riri Love SJ & BIGBANG # 2ndgenStand # goldenera","I ' m elf riri fav bigbang , poor riri Love SJ & BIGBANG # 2ndgenstand # goldenera"
"When most of the people commenting are above 20 years old or even un their 30s. Lol. I know VIPs have aged along with BB but I'm proud that this fandom's enthusiasm and teamwork never age a tiny bit. We have been busy with life and have less time also effort to support BB but promise we will always strive our best to support BB until the end. Let's go VIP! 

- since 2006 till forever.",2018-07-28 00:00:00+00:00,Q7sHwg2Z21U,"When most of the people commenting are above 20 years old or even un their 30s. Lol. I know VIPs have aged along with BB but I'm proud that this fandom's enthusiasm and teamwork never age a tiny bit. We have been busy with life and have less time also effort to support BB but promise we will always strive our best to support BB until the end. Let's go VIP! 

- since 2006 till forever.",en,"When most of the people commenting are above 20 years old or even un their 30s. Lol. I know VIPs have aged along with BB but I'm proud that this fandom's enthusiasm and teamwork never age a tiny bit. We have been busy with life and have less time also effort to support BB but promise we will always strive our best to support BB until the end. Let's go VIP! 

- since 2006 till forever.",When people commenting 20 years old even un 30s . Lol . I know VIPs aged along BB I 'm proud fandom 's enthusiasm teamwork never age tiny bit . We busy life less time also effort support BB promise always strive best support BB end . Let 's go VIP ! - since 2006 till forever .,when people comment 20 year old even un 30s . lol . I know vip age along BB I ' m proud fandom 's enthusiasm teamwork never age tiny bit . we busy life less time also effort support BB promise always strive good support BB end . let us go vip ! - since 2006 till forever .
Congratulations very good. Sunny. Great,2018-10-25 00:00:00+00:00,25EQ5hwTxro,Congratulations very good. Sunny. Great,en,Congratulations very good. Sunny. Great,Congratulations good . Sunny . Great,congratulation good . sunny . great
we just dont get used to see seungri act serious 😂,2018-03-14 00:00:00+00:00,AZk7RBpeaHM,we just dont get used to see seungri act serious ,en,we just dont get used to see seungri act serious ,dont get used see seungri act serious,do not get use see seungri act serious
Seungri’s voice gives me eargasm.,2018-07-21 00:00:00+00:00,Q7sHwg2Z21U,Seungri’s voice gives me eargasm.,en,Seungri’s voice gives me eargasm.,Seungri ’ voice gives eargasm .,seungri ' voice give eargasm .
ia iege💅🏻,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,ia iege,en,ia iege,ia iege,ia iege
Okay but what's with the bamboo? Bc he's panda?!! I love it!! 😂,2018-07-27 00:00:00+00:00,m2MtOeuCgh8,Okay but what's with the bamboo? Bc he's panda?!! I love it!! ,en,Okay but what's with the bamboo? Bc he's panda?!! I love it!! !,Okay 's bamboo ? Bc 's panda ? ! ! I love ! ! !,okay 's bamboo ? Bc 's panda ? ! ! I love ! ! !
"Whos that guys said ""WHERE DID MALAYSIA COME FROM?"" U KNOW NOTHING ABOUT ASIA EH??? WE GOT TUN M!!!!! 1:50",2018-05-27 00:00:00+00:00,AZk7RBpeaHM,"Whos that guys said ""WHERE DID MALAYSIA COME FROM?"" U KNOW NOTHING ABOUT ASIA EH??? WE GOT TUN M!!!!! 1:50",en,"Whos that guys said ""WHERE DID MALAYSIA COME FROM?"" U KNOW NOTHING ABOUT ASIA EH??? WE GOT TUN M!!!!! 1:50",Whos guys said `` WHERE DID MALAYSIA COME FROM ? '' U KNOW NOTHING ABOUT ASIA EH ? ? ? WE GOT TUN M ! ! ! ! ! 1:50,who s guy say ` ` where do MALAYSIA COME from ? '' u know nothing about ASIA EH ? ? ? we got TUN M ! ! ! ! ! 1:50
"What if that girl was me???
😂😂😂",2018-06-02 00:00:00+00:00,hii0tpk8Dss,"What if that girl was me???
",en,"What if that girl was me???
?",What girl ? ? ? ?,what girl ? ? ? ?
*Rośe is eating very well* 😍,2018-07-25 00:00:00+00:00,YZqxolXNC2k,*Rośe is eating very well* ,en,*Rośe is eating very well* ,* Rośe eating well *,* Rośe eat well *
I love seeing VIPs from all over the world in the comment section. Very fitting with the title of the song 😂,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,I love seeing VIPs from all over the world in the comment section. Very fitting with the title of the song ,en,I love seeing VIPs from all over the world in the comment section. Very fitting with the title of the song ,I love seeing VIPs world comment section . Very fitting title song,I love see vip world comment section . very fitting title song
"スンリ〜〜💓

笹で遊んでるところのモノボケ感すごく好き",2018-07-31 00:00:00+00:00,-ODTMpRFS5A,"スンリ〜〜

笹で遊んでるところのモノボケ感すごく好き",ja,"Home

I like the feeling of monoケ where I play with a bamboo grass",Home I like feeling monoケ I play bamboo grass,home I like feel monoケ I play bamboo grass
Who does he share an office with?,2018-06-28 00:00:00+00:00,AZk7RBpeaHM,Who does he share an office with?,en,Who does he share an office with?,Who share office ?,who share office ?
まじカッコイイ！,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,まじカッコイイ！,ja,まじカッコイイ！,まじカッコイイ！,まじカッコイイ ！
From Greece💙,2018-07-31 00:00:00+00:00,-ODTMpRFS5A,From Greece,en,From Greece,From Greece,from Greece
Ahhh Hyung Seungre is telling a story to the Babies of YG. 😂😂😂😂,2019-01-24 00:00:00+00:00,YZqxolXNC2k,Ahhh Hyung Seungre is telling a story to the Babies of YG. ,en,Ahhh Hyung Seungre is telling a story to the Babies of YG. .,Ahhh Hyung Seungre telling story Babies YG . .,Ahhh Hyung Seungre tell story Babies YG . .
The great seungri always brightens up the mood everywhere 😊,2018-09-04 00:00:00+00:00,Jyhy6lnVwyA,The great seungri always brightens up the mood everywhere ,en,The great seungri always brightens up the mood everywhere ,The great seungri always brightens mood everywhere,the great seungri always brighten mood everywhere
"- Billboard did an article on this MV and another for 123.
- CNN International called him one of the hottest starts while talking about this MV to which he replied on IG ""Yeah That's Me"". He also mentioned in CNN France and Philipines.
- The White House retweeted CNN news. 
- The Guardian did an article on him and called him the glue of Big Bang.

I'm just here holding my beer and cheering. 💛🐼",2018-07-31 00:00:00+00:00,m2MtOeuCgh8,"- Billboard did an article on this MV and another for 123.
- CNN International called him one of the hottest starts while talking about this MV to which he replied on IG ""Yeah That's Me"". He also mentioned in CNN France and Philipines.
- The White House retweeted CNN news. 
- The Guardian did an article on him and called him the glue of Big Bang.

I'm just here holding my beer and cheering. ",en,"- Billboard did an article on this MV and another for 123.
- CNN International called him one of the hottest starts while talking about this MV to which he replied on IG ""Yeah That's Me"". He also mentioned in CNN France and Philipines.
- The White House retweeted CNN news. 
- The Guardian did an article on him and called him the glue of Big Bang.

I'm just here holding my beer and cheering. .",- Billboard article MV another 123 . - CNN International called one hottest starts talking MV replied IG `` Yeah That 's Me '' . He also mentioned CNN France Philipines . - The White House retweeted CNN news . - The Guardian article called glue Big Bang . I 'm holding beer cheering . .,- billboard article MV another 123 . - CNN International call one hot start talk MV reply IG ` ` yeah that be I '' . he also mention CNN France Philipines . - the White House retweete CNN news . - the Guardian article call glue Big Bang . I ' m hold beer cheer . .
"BIGBANG is huge in Korea, but abroad I think SJ is more popular. Idk.",2018-05-30 00:00:00+00:00,hii0tpk8Dss,"BIGBANG is huge in Korea, but abroad I think SJ is more popular. Idk.",en,"BIGBANG is huge in Korea, but abroad I think SJ is more popular. Idk.","BIGBANG huge Korea , abroad I think SJ popular . Idk .","bigbang huge Korea , abroad I think SJ popular . Idk ."
2:32 LISA IS SHAKING😂,2018-07-27 00:00:00+00:00,m2MtOeuCgh8,2:32 LISA IS SHAKING,en,2:32 LISA IS SHAKING,2:32 LISA IS SHAKING,2:32 LISA be shake
PANDA SAJANGNIM!!!!! SARANGHAEYO!💕😭😭😂💕💕,2018-03-13 00:00:00+00:00,AZk7RBpeaHM,PANDA SAJANGNIM!!!!! SARANGHAEYO!,pt,_ SARANGHAEYO!,_ SARANGHAEYO !,_ SARANGHAEYO !
